Issues found: 489
Row 0: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 1: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 2: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 3: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 4: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 5: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 6: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 7: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 8: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 9: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 10: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 11: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 12: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 13: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 14: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 15: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 16: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 17: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 18: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 19: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 20: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 21: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 22: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 23: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 24: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 25: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 26: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 27: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 28: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 29: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 30: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 31: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 32: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 33: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 34: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 35: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 36: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 37: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 38: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 39: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 40: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 41: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 42: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 43: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 44: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 45: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 46: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 47: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 48: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 49: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 50: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 51: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 52: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 53: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 54: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 55: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 56: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 57: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 58: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 59: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 60: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 61: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 62: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 63: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 64: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 65: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 66: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 67: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 68: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 69: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 70: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 71: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 72: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 73: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 74: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 75: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 76: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 77: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 78: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 79: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 80: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 81: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 82: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 83: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 84: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 85: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 86: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 87: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 88: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 89: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 90: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 91: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 92: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
Row 93: Possible stats mismatch: tweets=1470880, followers=1026, following=9814
